place,address,pos,open_time
해녀 박물관,제주특별자치도 제주시 구좌읍 하도리,"[33.523525, 126.861292]","월요일
휴무일
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
안산갈대습지,경기도 안산시 상록구 본오동 해안로 820-116,"[37.273114, 126.8370365]",
안목 해수욕장,강원도 강릉시 견소동 286,"[37.7882263, 128.7918885]",
안동하회마을,"경상북도 안동시 풍천면 하회, 40","[36.5389541, 128.5159475]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
에코랜드 테마파크,"제주특별자치도 제주시 특별자치도, 조천읍 번영로 1278-169 KR","[33.4555296, 126.6659933]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
산굼부리 분화구,제주특별자치도 제주시 조천읍 비자림로 768,"[33.4316207, 126.6878118]","월요일
오전 9:00~오후 5:45
화요일
오전 9:00~오후 5:45
수요일
오전 9:00~오후 5:45
목요일
오전 9:00~오후 5:45
금요일
오전 9:00~오후 5:45
토요일
오전 9:00~오후 5:45
일요일
오전 9:00~오후 5:45"
판문점,전라남도 나주시 대호동 1039-9번지 KR,"[35.0405102, 126.7154049]",
라베니체,경기도 김포시 장기동 2018-10 KR1차 B122호 퍼피앤유 김포점 라베니체마치에비뉴,"[37.6412564, 126.6771403]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
청남대,충청북도 청주시 상당구 문의면 청남대길 646,"[36.4612029, 127.4863581]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
율동 공원,경기도 성남시 분당구 율동 318,"[37.3799429, 127.1461189]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
수월봉,제주시 한경면,"[33.2948357, 126.145046]",
은파 호수 공원,전라북도 군산시 지곡동 415-6,"[35.9452174, 126.7030126]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
외암민속마을,충청남도 아산시 송악면 외암리 84,"[36.7300196, 127.0142789]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
이기대도시자연공원,부산광역시 남구 용호3동 이기대공원로 105-20,"[35.1322108, 129.1188089]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
